k=8 : a=4, b=60, c=56, length = 240, b == a+c - True, <lcm - True
k=8 : a=586, b=1440, c=14, length = 4080, b == a+c - False, <lcm - False
k=8 : a=588, b=180, c=1272, length = 4080, b == a+c - False, <lcm - False
k=8 : a=588, b=600, c=852, length = 4080, b == a+c - False, <lcm - False
k=8 : a=588, b=1020, c=432, length = 4080, b == a+c - True, <lcm - False
k=8 : a=588, b=1440, c=12, length = 4080, b == a+c - False, <lcm - False
k=8 : a=593, b=600, c=847, length = 4080, b == a+c - False, <lcm - False
k=8 : a=593, b=1440, c=7, length = 4080, b == a+c - False, <lcm - False
k=8 : a=595, b=600, c=845, length = 4080, b == a+c - False, <lcm - False
k=8 : a=595, b=1440, c=5, length = 4080, b == a+c - False, <lcm - False
k=8 : a=600, b=180, c=1260, length = 4080, b == a+c - False, <lcm - False
k=8 : a=600, b=600, c=840, length = 4080, b == a+c - False, <lcm - False
k=8 : a=600, b=1020, c=420, length = 4080, b == a+c - True, <lcm - False
k=8 : a=602, b=600, c=838, length = 4080, b == a+c - False, <lcm - True
k=8 : a=607, b=600, c=833, length = 4080, b == a+c - False, <lcm - True
k=8 : a=609, b=600, c=831, length = 4080, b == a+c - False, <lcm - True
k=8 : a=614, b=600, c=826, length = 4080, b == a+c - False, <lcm - True
k=8 : a=616, b=180, c=1244, length = 4080, b == a+c - False, <lcm - False
k=8 : a=616, b=600, c=824, length = 4080, b == a+c - False, <lcm - True
k=8 : a=616, b=1020, c=404, length = 4080, b == a+c - True, <lcm - False
k=8 : a=621, b=600, c=819, length = 4080, b == a+c - False, <lcm - True
k=8 : a=623, b=600, c=817, length = 4080, b == a+c - False, <lcm - True
k=8 : a=628, b=180, c=1232, length = 4080, b == a+c - False, <lcm - False
k=8 : a=628, b=600, c=812, length = 4080, b == a+c - False, <lcm - True
k=8 : a=628, b=1020, c=392, length = 4080, b == a+c - True, <lcm - False
k=8 : a=630, b=600, c=810, length = 4080, b == a+c - False, <lcm - True
k=8 : a=635, b=600, c=805, length = 4080, b == a+c - False, <lcm - True
k=8 : a=637, b=600, c=803, length = 4080, b == a+c - False, <lcm - True
k=8 : a=642, b=600, c=798, length = 4080, b == a+c - False, <lcm - True
k=8 : a=644, b=180, c=1216, length = 4080, b == a+c - False, <lcm - False
k=8 : a=644, b=600, c=796, length = 4080, b == a+c - False, <lcm - True
k=8 : a=644, b=1020, c=376, length = 4080, b == a+c - True, <lcm - False
k=8 : a=649, b=600, c=791, length = 4080, b == a+c - False, <lcm - True
k=8 : a=651, b=600, c=789, length = 4080, b == a+c - False, <lcm - True
k=8 : a=656, b=180, c=1204, length = 4080, b == a+c - False, <lcm - False
k=8 : a=656, b=600, c=784, length = 4080, b == a+c - False, <lcm - True
k=8 : a=656, b=1020, c=364, length = 4080, b == a+c - True, <lcm - False
k=8 : a=658, b=600, c=782, length = 4080, b == a+c - False, <lcm - True
k=8 : a=663, b=600, c=777, length = 4080, b == a+c - False, <lcm - True
k=8 : a=665, b=600, c=775, length = 4080, b == a+c - False, <lcm - True
k=8 : a=670, b=600, c=770, length = 4080, b == a+c - False, <lcm - True
k=8 : a=672, b=180, c=1188, length = 4080, b == a+c - False, <lcm - False
k=8 : a=672, b=600, c=768, length = 4080, b == a+c - False, <lcm - True
k=8 : a=672, b=1020, c=348, length = 4080, b == a+c - True, <lcm - False
k=8 : a=677, b=600, c=763, length = 4080, b == a+c - False, <lcm - True
k=8 : a=679, b=600, c=761, length = 4080, b == a+c - False, <lcm - True
k=8 : a=684, b=180, c=1176, length = 4080, b == a+c - False, <lcm - False
k=8 : a=684, b=600, c=756, length = 4080, b == a+c - False, <lcm - True
k=8 : a=684, b=1020, c=336, length = 4080, b == a+c - True, <lcm - False
k=8 : a=686, b=600, c=754, length = 4080, b == a+c - False, <lcm - True
k=8 : a=691, b=600, c=749, length = 4080, b == a+c - False, <lcm - True
k=8 : a=693, b=600, c=747, length = 4080, b == a+c - False, <lcm - True
k=8 : a=698, b=600, c=742, length = 4080, b == a+c - False, <lcm - True
k=8 : a=700, b=180, c=1160, length = 4080, b == a+c - False, <lcm - False
k=8 : a=700, b=600, c=740, length = 4080, b == a+c - False, <lcm - True
k=8 : a=700, b=1020, c=320, length = 4080, b == a+c - True, <lcm - False
k=8 : a=705, b=600, c=735, length = 4080, b == a+c - False, <lcm - True
k=8 : a=707, b=600, c=733, length = 4080, b == a+c - False, <lcm - True
k=8 : a=712, b=180, c=1148, length = 4080, b == a+c - False, <lcm - False
k=8 : a=712, b=600, c=728, length = 4080, b == a+c - False, <lcm - True
k=8 : a=712, b=1020, c=308, length = 4080, b == a+c - True, <lcm - False
k=8 : a=714, b=600, c=726, length = 4080, b == a+c - False, <lcm - True
k=8 : a=719, b=600, c=721, length = 4080, b == a+c - False, <lcm - True
k=8 : a=721, b=600, c=719, length = 4080, b == a+c - False, <lcm - True
k=8 : a=726, b=600, c=714, length = 4080, b == a+c - False, <lcm - True
k=8 : a=728, b=180, c=1132, length = 4080, b == a+c - False, <lcm - False
k=8 : a=728, b=600, c=712, length = 4080, b == a+c - False, <lcm - True
k=8 : a=728, b=1020, c=292, length = 4080, b == a+c - True, <lcm - False
k=8 : a=733, b=600, c=707, length = 4080, b == a+c - False, <lcm - True
k=8 : a=735, b=600, c=705, length = 4080, b == a+c - False, <lcm - True
k=8 : a=740, b=180, c=1120, length = 4080, b == a+c - False, <lcm - False
k=8 : a=740, b=600, c=700, length = 4080, b == a+c - False, <lcm - True
k=8 : a=740, b=1020, c=280, length = 4080, b == a+c - True, <lcm - False
k=8 : a=742, b=600, c=698, length = 4080, b == a+c - False, <lcm - True
k=8 : a=747, b=600, c=693, length = 4080, b == a+c - False, <lcm - True
k=8 : a=749, b=600, c=691, length = 4080, b == a+c - False, <lcm - True
k=8 : a=754, b=600, c=686, length = 4080, b == a+c - False, <lcm - True
k=8 : a=756, b=180, c=1104, length = 4080, b == a+c - False, <lcm - False
k=8 : a=756, b=600, c=684, length = 4080, b == a+c - False, <lcm - True
k=8 : a=756, b=1020, c=264, length = 4080, b == a+c - True, <lcm - False
k=8 : a=761, b=600, c=679, length = 4080, b == a+c - False, <lcm - True
k=8 : a=763, b=600, c=677, length = 4080, b == a+c - False, <lcm - True
k=8 : a=768, b=180, c=1092, length = 4080, b == a+c - False, <lcm - False
k=8 : a=768, b=600, c=672, length = 4080, b == a+c - False, <lcm - True
k=8 : a=768, b=1020, c=252, length = 4080, b == a+c - True, <lcm - False
k=8 : a=770, b=600, c=670, length = 4080, b == a+c - False, <lcm - True
k=8 : a=775, b=600, c=665, length = 4080, b == a+c - False, <lcm - True
k=8 : a=777, b=600, c=663, length = 4080, b == a+c - False, <lcm - True
k=8 : a=782, b=600, c=658, length = 4080, b == a+c - False, <lcm - True
k=8 : a=784, b=180, c=1076, length = 4080, b == a+c - False, <lcm - False
k=8 : a=784, b=600, c=656, length = 4080, b == a+c - False, <lcm - True
k=8 : a=784, b=1020, c=236, length = 4080, b == a+c - True, <lcm - False
k=8 : a=789, b=600, c=651, length = 4080, b == a+c - False, <lcm - True
k=8 : a=791, b=600, c=649, length = 4080, b == a+c - False, <lcm - True
k=8 : a=796, b=180, c=1064, length = 4080, b == a+c - False, <lcm - False
k=8 : a=796, b=600, c=644, length = 4080, b == a+c - False, <lcm - True
k=8 : a=796, b=1020, c=224, length = 4080, b == a+c - True, <lcm - False
k=8 : a=798, b=600, c=642, length = 4080, b == a+c - False, <lcm - True
k=8 : a=803, b=600, c=637, length = 4080, b == a+c - False, <lcm - True
k=8 : a=805, b=600, c=635, length = 4080, b == a+c - False, <lcm - True
k=8 : a=810, b=600, c=630, length = 4080, b == a+c - False, <lcm - True
k=8 : a=812, b=180, c=1048, length = 4080, b == a+c - False, <lcm - False
k=8 : a=812, b=600, c=628, length = 4080, b == a+c - False, <lcm - True
k=8 : a=812, b=1020, c=208, length = 4080, b == a+c - True, <lcm - False
k=8 : a=817, b=600, c=623, length = 4080, b == a+c - False, <lcm - True
k=8 : a=819, b=600, c=621, length = 4080, b == a+c - False, <lcm - True
k=8 : a=824, b=180, c=1036, length = 4080, b == a+c - False, <lcm - False
k=8 : a=824, b=600, c=616, length = 4080, b == a+c - False, <lcm - True
k=8 : a=824, b=1020, c=196, length = 4080, b == a+c - True, <lcm - False
k=8 : a=826, b=600, c=614, length = 4080, b == a+c - False, <lcm - True
k=8 : a=831, b=600, c=609, length = 4080, b == a+c - False, <lcm - True
k=8 : a=833, b=600, c=607, length = 4080, b == a+c - False, <lcm - True
k=8 : a=838, b=600, c=602, length = 4080, b == a+c - False, <lcm - True
k=8 : a=840, b=180, c=1020, length = 4080, b == a+c - False, <lcm - False
k=8 : a=840, b=600, c=600, length = 4080, b == a+c - False, <lcm - False
k=8 : a=840, b=1020, c=180, length = 4080, b == a+c - True, <lcm - False
k=8 : a=845, b=600, c=595, length = 4080, b == a+c - False, <lcm - False
k=8 : a=847, b=600, c=593, length = 4080, b == a+c - False, <lcm - False
k=8 : a=852, b=180, c=1008, length = 4080, b == a+c - False, <lcm - False
k=8 : a=852, b=600, c=588, length = 4080, b == a+c - False, <lcm - False
k=8 : a=852, b=1020, c=168, length = 4080, b == a+c - True, <lcm - False
k=8 : a=854, b=600, c=586, length = 4080, b == a+c - False, <lcm - False
k=8 : a=859, b=600, c=581, length = 4080, b == a+c - False, <lcm - False
k=8 : a=861, b=600, c=579, length = 4080, b == a+c - False, <lcm - False
k=8 : a=866, b=600, c=574, length = 4080, b == a+c - False, <lcm - False
k=8 : a=868, b=180, c=992, length = 4080, b == a+c - False, <lcm - False
k=8 : a=868, b=600, c=572, length = 4080, b == a+c - False, <lcm - False
k=8 : a=868, b=1020, c=152, length = 4080, b == a+c - True, <lcm - False
k=8 : a=873, b=600, c=567, length = 4080, b == a+c - False, <lcm - False
k=8 : a=875, b=600, c=565, length = 4080, b == a+c - False, <lcm - False
k=8 : a=880, b=180, c=980, length = 4080, b == a+c - False, <lcm - False
k=8 : a=880, b=600, c=560, length = 4080, b == a+c - False, <lcm - False
k=8 : a=880, b=1020, c=140, length = 4080, b == a+c - True, <lcm - False
k=8 : a=882, b=600, c=558, length = 4080, b == a+c - False, <lcm - False
k=8 : a=887, b=600, c=553, length = 4080, b == a+c - False, <lcm - False
k=8 : a=889, b=600, c=551, length = 4080, b == a+c - False, <lcm - False
k=8 : a=894, b=600, c=546, length = 4080, b == a+c - False, <lcm - False
k=8 : a=896, b=180, c=964, length = 4080, b == a+c - False, <lcm - False
k=8 : a=896, b=600, c=544, length = 4080, b == a+c - False, <lcm - False
k=8 : a=896, b=1020, c=124, length = 4080, b == a+c - True, <lcm - False
k=8 : a=901, b=600, c=539, length = 4080, b == a+c - False, <lcm - False
k=8 : a=903, b=600, c=537, length = 4080, b == a+c - False, <lcm - False
k=8 : a=908, b=180, c=952, length = 4080, b == a+c - False, <lcm - False
k=8 : a=908, b=600, c=532, length = 4080, b == a+c - False, <lcm - False
k=8 : a=908, b=1020, c=112, length = 4080, b == a+c - True, <lcm - False
k=8 : a=910, b=600, c=530, length = 4080, b == a+c - False, <lcm - False
k=8 : a=915, b=600, c=525, length = 4080, b == a+c - False, <lcm - False
k=8 : a=917, b=600, c=523, length = 4080, b == a+c - False, <lcm - False
k=8 : a=922, b=600, c=518, length = 4080, b == a+c - False, <lcm - False
k=8 : a=924, b=180, c=936, length = 4080, b == a+c - False, <lcm - False
k=8 : a=924, b=600, c=516, length = 4080, b == a+c - False, <lcm - False
k=8 : a=924, b=1020, c=96, length = 4080, b == a+c - True, <lcm - False
k=8 : a=929, b=600, c=511, length = 4080, b == a+c - False, <lcm - False
k=8 : a=931, b=600, c=509, length = 4080, b == a+c - False, <lcm - False
k=8 : a=936, b=180, c=924, length = 4080, b == a+c - False, <lcm - False
k=8 : a=936, b=600, c=504, length = 4080, b == a+c - False, <lcm - False
k=8 : a=936, b=1020, c=84, length = 4080, b == a+c - True, <lcm - False
k=8 : a=938, b=600, c=502, length = 4080, b == a+c - False, <lcm - False
k=8 : a=943, b=600, c=497, length = 4080, b == a+c - False, <lcm - False
k=8 : a=945, b=600, c=495, length = 4080, b == a+c - False, <lcm - False
k=8 : a=950, b=600, c=490, length = 4080, b == a+c - False, <lcm - False
k=8 : a=952, b=180, c=908, length = 4080, b == a+c - False, <lcm - False
k=8 : a=952, b=600, c=488, length = 4080, b == a+c - False, <lcm - False
k=8 : a=952, b=1020, c=68, length = 4080, b == a+c - True, <lcm - False
k=8 : a=957, b=600, c=483, length = 4080, b == a+c - False, <lcm - False
k=8 : a=959, b=600, c=481, length = 4080, b == a+c - False, <lcm - False
k=8 : a=964, b=180, c=896, length = 4080, b == a+c - False, <lcm - False
k=8 : a=964, b=600, c=476, length = 4080, b == a+c - False, <lcm - False
k=8 : a=964, b=1020, c=56, length = 4080, b == a+c - True, <lcm - False
k=8 : a=966, b=600, c=474, length = 4080, b == a+c - False, <lcm - False
k=8 : a=971, b=600, c=469, length = 4080, b == a+c - False, <lcm - False
k=8 : a=973, b=600, c=467, length = 4080, b == a+c - False, <lcm - False
k=8 : a=978, b=600, c=462, length = 4080, b == a+c - False, <lcm - False
k=8 : a=980, b=180, c=880, length = 4080, b == a+c - False, <lcm - False
k=8 : a=980, b=600, c=460, length = 4080, b == a+c - False, <lcm - False
k=8 : a=980, b=1020, c=40, length = 4080, b == a+c - True, <lcm - False
k=8 : a=985, b=600, c=455, length = 4080, b == a+c - False, <lcm - False
k=8 : a=987, b=600, c=453, length = 4080, b == a+c - False, <lcm - False
k=8 : a=992, b=180, c=868, length = 4080, b == a+c - False, <lcm - False
k=8 : a=992, b=600, c=448, length = 4080, b == a+c - False, <lcm - False
k=8 : a=992, b=1020, c=28, length = 4080, b == a+c - True, <lcm - False
k=8 : a=994, b=600, c=446, length = 4080, b == a+c - False, <lcm - False
k=8 : a=999, b=600, c=441, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1001, b=600, c=439, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1006, b=600, c=434, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1008, b=180, c=852, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1008, b=600, c=432, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1008, b=1020, c=12, length = 4080, b == a+c - True, <lcm - False
k=8 : a=1013, b=600, c=427, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1015, b=600, c=425, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1020, b=180, c=840, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1020, b=600, c=420, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1022, b=600, c=418, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1027, b=600, c=413, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1029, b=600, c=411, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1034, b=600, c=406, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1036, b=180, c=824, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1036, b=600, c=404, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1041, b=600, c=399, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1043, b=600, c=397, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1048, b=180, c=812, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1048, b=600, c=392, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1050, b=600, c=390, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1055, b=600, c=385, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1057, b=600, c=383, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1062, b=600, c=378, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1064, b=180, c=796, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1064, b=600, c=376, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1069, b=600, c=371, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1071, b=600, c=369, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1076, b=180, c=784, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1076, b=600, c=364, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1078, b=600, c=362, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1083, b=600, c=357, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1085, b=600, c=355, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1090, b=600, c=350, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1092, b=180, c=768, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1092, b=600, c=348, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1097, b=600, c=343, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1099, b=600, c=341, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1104, b=180, c=756, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1104, b=600, c=336, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1106, b=600, c=334, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1111, b=600, c=329, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1113, b=600, c=327, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1118, b=600, c=322, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1120, b=180, c=740, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1120, b=600, c=320, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1125, b=600, c=315, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1127, b=600, c=313, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1132, b=180, c=728, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1132, b=600, c=308, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1134, b=600, c=306, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1139, b=600, c=301, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1141, b=600, c=299, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1146, b=600, c=294, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1148, b=180, c=712, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1148, b=600, c=292, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1153, b=600, c=287, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1155, b=600, c=285, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1160, b=180, c=700, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1160, b=600, c=280, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1162, b=600, c=278, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1167, b=600, c=273, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1169, b=600, c=271, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1174, b=600, c=266, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1176, b=180, c=684, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1176, b=600, c=264, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1181, b=600, c=259, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1183, b=600, c=257, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1188, b=180, c=672, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1188, b=600, c=252, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1190, b=600, c=250, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1195, b=600, c=245, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1197, b=600, c=243, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1202, b=600, c=238, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1204, b=180, c=656, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1204, b=600, c=236, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1209, b=600, c=231, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1211, b=600, c=229, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1216, b=180, c=644, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1216, b=600, c=224, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1218, b=600, c=222, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1223, b=600, c=217, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1225, b=600, c=215, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1230, b=600, c=210, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1232, b=180, c=628, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1232, b=600, c=208, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1237, b=600, c=203, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1239, b=600, c=201, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1244, b=180, c=616, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1244, b=600, c=196, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1246, b=600, c=194, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1251, b=600, c=189, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1253, b=600, c=187, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1258, b=600, c=182, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1260, b=180, c=600, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1260, b=600, c=180, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1265, b=600, c=175, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1267, b=600, c=173, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1272, b=180, c=588, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1272, b=600, c=168, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1274, b=600, c=166, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1279, b=600, c=161, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1281, b=600, c=159, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1286, b=600, c=154, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1288, b=180, c=572, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1288, b=600, c=152, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1293, b=600, c=147, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1295, b=600, c=145, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1300, b=180, c=560, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1300, b=600, c=140, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1302, b=600, c=138, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1307, b=600, c=133, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1309, b=600, c=131, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1314, b=600, c=126, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1316, b=180, c=544, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1316, b=600, c=124, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1321, b=600, c=119, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1323, b=600, c=117, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1328, b=180, c=532, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1328, b=600, c=112, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1330, b=600, c=110, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1335, b=600, c=105, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1337, b=600, c=103, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1342, b=600, c=98, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1344, b=180, c=516, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1344, b=600, c=96, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1349, b=600, c=91, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1351, b=600, c=89, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1356, b=180, c=504, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1356, b=600, c=84, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1358, b=600, c=82, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1363, b=600, c=77, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1365, b=600, c=75, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1370, b=600, c=70, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1372, b=180, c=488, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1372, b=600, c=68, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1377, b=600, c=63, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1379, b=600, c=61, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1384, b=180, c=476, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1384, b=600, c=56, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1386, b=600, c=54, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1391, b=600, c=49, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1393, b=600, c=47, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1398, b=600, c=42, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1400, b=180, c=460, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1400, b=600, c=40, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1405, b=600, c=35, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1407, b=600, c=33, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1412, b=180, c=448, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1412, b=600, c=28, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1414, b=600, c=26, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1419, b=600, c=21, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1421, b=600, c=19, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1426, b=600, c=14, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1428, b=180, c=432, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1428, b=600, c=12, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1433, b=600, c=7, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1435, b=600, c=5, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1440, b=180, c=420, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1456, b=180, c=404, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1468, b=180, c=392, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1484, b=180, c=376, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1496, b=180, c=364, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1512, b=180, c=348, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1524, b=180, c=336, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1540, b=180, c=320, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1552, b=180, c=308, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1568, b=180, c=292, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1580, b=180, c=280, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1596, b=180, c=264, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1608, b=180, c=252, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1624, b=180, c=236, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1636, b=180, c=224, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1652, b=180, c=208, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1664, b=180, c=196, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1680, b=180, c=180, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1692, b=180, c=168, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1708, b=180, c=152, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1720, b=180, c=140, length = 4080, b == a+c - False, <lcm - False
k=8 : a=1736, b=180, c=124, length = 4080, b == a+c - False, <lcm - False
